BLK,PLOT,Na,POSITION,SPECIES,Tillers_1,Tillers_2,Tillers_3,Tillers_4,Tillers_5,Stolons_1,Stolons_2,Stolons_3,Stolons_4,Stolons_5,Ht_1,Ht_2,Ht_3,Ht_4,Ht_5,FlrHt_2,FlrHt_3,FlrHt_4,FlrHt_5,Dead_1,Dead_2,Dead_3,Dead_4,Dead_5
1,4,y,3,spofim,3,3,3,3,3,,,,,,4.2,9.3,10.9,13.2,9.4,,,,,,,,,
1,4,y,4,spocon,9,5,7,6,7,,,,,,19.2,23.2,29,33.5,38.6,,,,,,,,,
1,4,y,5,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,4,y,6,spopyr,5,8,8,8,8,,,,,,3.1,5.3,10.5,10,15.2,,,,,,,,,
1,4,y,7,spospi,6,6,8,5,5,,,,,,3.9,5.3,9.5,15.2,12,,,,,,,,,
1,4,y,8,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,5,n,1,sposta,5,5,4,5,4,,,,,,2,6,2.5,3.2,4,,,,,,,,,
1,5,n,2,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,5,n,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,5,n,4,spopyr,14,12,19,21,30,,,,,1,16.5,16.1,20,7,38,,,,37,,,,,
1,5,n,5,spoioc,5,4,4,4,5,,,,,,6.6,9.5,13.2,25,16,,,,,,,,,
1,5,n,6,spocon,6,4,5,4,5,,,,,,3.5,11.6,16.5,16.2,25,,,,,,,,,
1,5,n,7,spofim,4,4,4,3,4,,,,,,21.8,21.4,20.9,17.6,18,,,,,,,,,
1,5,n,8,spospi,14,13,13,16,49,,,,2,4,14.6,18.5,20,21,21,24.3,23,29.6,28,,,,,
1,5,y,1,spofim,3,3,3,3,2,,,,,,15.2,14.8,17.3,18.5,16,,,,,,,,,
1,5,y,2,spoioc,5,5,6,7,15,1,1,1,1,2,8.2,9.1,10.2,15.3,13,,,,30,,,,,
1,5,y,3,spocon,3,3,6,8,7,,,,,,7.5,7.5,14,17.8,24,,,,,,,,,
1,5,y,4,sposta,16,16,14,21,29,,,,,,2.5,4,7.2,8.1,8,,,,,,,,,
1,5,y,5,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,5,y,6,spospi,3,2,2,1,2,,,,,,5,4.4,7.3,8.9,13,,,,,,,,,
1,5,y,7,spopyr,3,6,6,7,11,,,,,,31.9,34.4,21.5,23.3,30,42.5,63.5,,,,,,,
1,5,y,8,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,6,n,1,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,6,n,2,spopyr,11,9,10,12,10,,,,,,5.1,12.4,17,21.6,21,,,,,,,,,
1,6,n,3,spoioc,14,14,14,16,12,,,,,,12.9,13.9,14.5,22.2,26,,,,,,,,,
1,6,n,4,spospi,4,3,3,9,9,,,1,2,2,7.4,10.5,12,22,14,,,,,,,,,
1,6,n,5,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,6,n,6,sposta,5,4,5,5,5,,,,,,1.4,3.8,4.5,6.3,5,,,,,,,,,
1,6,n,7,spocon,1,1,6,5,5,,,,,,3.1,3.1,6.8,9.2,2,,,,,,,,,
1,6,n,8,spofim,10,10,10,9,8,,,,,,6.3,11.7,17.2,15.3,24,,,,,,,,,
1,6,y,1,spocon,3,3,3,3,6,,,,,,7.6,7.6,7.6,7,10,,,,,,,,,
1,6,y,2,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,6,y,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,6,y,4,spoioc,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
1,6,y,5,spopyr,4,9,9,9,10,,,,,,2.1,5.6,8.8,9.5,14,,,,,,,,,
1,6,y,6,spofim,12,8,14,14,14,,,,,,5.4,13.2,19.3,21.5,26,,,,,,,,,
1,6,y,7,sposta,4,5,7,7,7,,,,,,3.6,3.8,4,7.2,7,,,,,,,,,
1,6,y,8,spospi,4,3,3,9,16,,,,1,4,2.6,6,9.5,9.3,11,,,,,,,,,
1,7,n,1,spopyr,3,5,4,5,4,,,,,,4.7,6.4,9.5,13,10,,,,,,,,,
1,7,n,2,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,7,n,3,sposta,9,11,11,12,8,,,,,,2.3,3.5,6.6,5,6,,,,,,,,,
1,7,n,4,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,7,n,5,spocon,1,1,1,1,1,,,,,,7.2,7.2,7.2,12.1,12,,,,,,,,,
1,7,n,6,spofim,2,1,1,1,,,,,,,2.6,6,6.1,3.2,6,,,,,,,,,
1,7,n,7,spospi,3,2,2,2,1,,,,,,2.1,3.3,4.5,4.5,5.5,,,,,,,,,
1,7,n,8,spoioc,8,8,8,8,11,,,,,,10.8,11.7,16.7,16.1,24,,,,,,,,,
1,7,y,1,spofim,8,6,9,8,8,,,,,,5.1,6.1,8,7.5,7.2,,,,,,,,,
1,7,y,2,spospi,2,2,4,4,3,,,,,,2.3,4,5.8,5.8,7,,,,,,,,,
1,7,y,3,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,7,y,4,spopyr,3,5,5,4,8,,,,,,3.8,7.4,9.5,9.8,10.5,,,,,,,,,
1,7,y,5,sposta,8,9,11,14,10,,,,,,1.9,5.2,7.2,8,8.5,,,,,,,,,
1,7,y,6,spocon,4,4,5,5,5,,,,,,2.9,15.5,27.5,35,34,,,,,,,,,
1,7,y,7,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,7,y,8,spoioc,1,1,,,,,,,,,1.9,1.1,,,,,,,,,,1,1,1
1,8,n,1,spocon,2,2,2,3,6,,,,,,5.8,5.8,5.8,9.2,14,,,,,,,,,
1,8,n,2,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,8,n,3,spospi,7,12,14,30,61,,,4,5,10,2.6,4.2,6.7,4.8,6,,,,,,,,,
1,8,n,4,spofim,6,8,8,11,14,,,,,,5.6,9.9,9.5,11.2,17,,,,,,,,,
1,8,n,5,spopyr,4,6,7,6,6,,,,,1,20.4,32,40,52.3,71,,,,79,,,,,
1,8,n,6,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,8,n,7,spoioc,6,6,4,5,7,,,,,,6.2,7.3,9.8,14.5,20,,,,,,,,,
1,8,n,8,sposta,9,8,12,10,10,,,,,,1.4,4.1,6.9,8,11,,,,,,,,,
1,8,y,1,spopyr,3,4,4,4,2,,,,,,5.5,10.5,14.5,18.8,18,,,,,,,,,
1,8,y,2,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,8,y,3,spofim,6,5,6,4,,,,,,,3.8,13.6,21,30.7,,,,,,,,,,1
1,8,y,4,sposta,11,7,10,10,,,,,,,3.2,4.5,8,8.2,,,,,,,,,,
1,8,y,5,spospi,10,10,16,15,24,,,1,1,6,3.6,8.3,10.8,10.7,9,,,13.5,,,,,,
1,8,y,6,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,8,y,7,spocon,1,1,1,1,,,,,,,5.2,5.2,5.2,10.1,,,,,,,,,,1
1,8,y,8,spoioc,14,17,14,22,21,,,,,,6.1,4.2,6,9,21,,,,,,,,,
1,9,n,1,spofim,6,6,8,7,8,,,,,1,7.6,15.1,21,29,41,,,,43,,,,,
1,9,n,2,sposta,5,5,5,6,6,,,,,,3.5,4.3,5.5,8.2,9,,,,,,,,,
1,9,n,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,9,n,4,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,9,n,5,spocon,1,1,1,2,2,,,,,,1,1,1,6.1,21,,,,,,,,,
1,9,n,6,spopyr,4,4,4,4,6,,,,,,11.7,19.1,28.5,30.5,32,,,,,,,,,
1,9,n,7,spospi,22,24,29,36,39,,,1,1,1,5.7,6.7,9.5,11.6,12,,,,,,,,,
1,9,n,8,spoioc,6,4,8,5,6,,,,,1,4.4,4.5,8,10.5,13,,,9,23,,,,,
1,9,y,1,spofim,4,4,3,3,6,,,,,,3.8,8.7,11,13.1,12,,,,,,,,,
1,9,y,2,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,9,y,3,spoioc,6,7,5,6,6,,,,,,4.6,6.1,11.5,12.2,17,,,,,,,,,
1,9,y,4,spocon,6,6,5,5,5,,,,,,8.4,10.5,15,17.5,21,,,,,,,,,
1,9,y,5,spopyr,2,2,2,2,2,,,,,1,7.6,16.5,26,41,60,,,32.5,65,,,,,
1,9,y,6,spospi,20,19,16,16,19,2,2,1,,1,3.4,5.5,10,10.5,12,,9.8,18.1,25,,,,,
1,9,y,7,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,9,y,8,sposta,2,4,2,3,3,,,,,,2.1,6.1,8.8,11.3,30,,,,,,,,,
1,10,n,1,spoioc,4,8,8,6,13,,,,,,7,9.5,11.7,14.3,13,,,,,,,,,
1,10,n,2,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,10,n,3,spofim,6,8,8,9,9,,,,,,4.1,9.1,12,12.6,14,,,,,,,,,
1,10,n,4,sposta,7,5,6,4,4,,,,,,4.3,3.1,7,8.2,6,,,,,,,,,
1,10,n,5,spocon,2,2,6,5,7,,,,,,0.8,0.8,8,14.5,16,,,,,,,,,
1,10,n,6,spospi,12,11,15,21,38,,,,1,5,2.9,4.1,5.9,5.8,6,,,,,,,,,
1,10,n,7,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,10,n,8,spopyr,5,11,14,18,19,,,,,,19.2,23.5,31,30.1,42,,,,,,,,,
1,10,y,1,spospi,13,13,12,9,7,,,,,,2.6,3,5.8,9,9,,,,,,,,,
1,10,y,2,spofim,10,12,9,5,4,,,,,,3,6.8,8.5,9.5,11,,,,,,,,,
1,10,y,3,spoioc,5,3,5,4,8,,,,,,2.9,12.2,16,7.3,15,,,,,,,,,
1,10,y,4,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,10,y,5,spocon,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
1,10,y,6,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,10,y,7,sposta,5,4,4,4,4,,,,,,3,3.8,4,6.8,7,,,,,,,,,
1,10,y,8,spopyr,12,13,15,13,13,,,,,,8.6,13.4,16,23.5,25,,,,,,,,,
2,1,n,1,spocon,3,3,4,4,4,,,,,,10.7,10.7,18,15.1,27,,,,,,,,,
2,1,n,2,spofim,10,9,9,12,14,,,,,,3.2,7.8,9.5,12,18,,,,,,,,,
2,1,n,3,spopyr,4,8,14,17,17,,,,,1,11.9,18.2,14,16.3,26,25.8,45.2,51.2,54,,,,,
2,1,n,4,sposta,11,9,10,12,9,,,,,,3,5.1,5.7,5.5,6,,,,,,,,,
2,1,n,5,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,1,n,6,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,1,n,7,spoioc,17,17,13,17,13,,,,,,8.9,9.5,12.2,6,18,,,,,,,,,
2,1,n,8,spospi,7,7,7,6,9,,,,1,1,2.1,4.8,7.2,8,8,,,,,,,,,
2,1,y,1,spopyr,6,9,9,8,9,,,,,,9.4,12,18.9,25.2,24,,,,,,,,,
